Run_Name,u_sun_alt,u_clouds,u_rain,u_wetness,u_fog_den,Max_CTE,Min_TLC,RMS_Jerk_Long,RMS_Jerk_Lat,Max_Jerk_Long,Max_Jerk_Lat,Total_Evasions,LDR_Percent
run_001_Town02_rt0_LHS_000,0.0923,0.9355,0.8818,0.284,0.234,1.2445,0.018,34.2179,25.1008,277.2,313.94,0,0.0
run_002_Town02_rt0_LHS_001,0.8355,0.4,0.3031,0.9466,0.7637,1.1039,0.0182,26.1812,17.6112,255.38,145.88,0,0.0
run_003_Town02_rt0_LHS_002,0.1005,0.6275,0.148,0.5711,0.4601,1.6338,0.022,28.7413,29.8578,235.26,287.84,0,0.0
run_004_Town02_rt0_LHS_003,0.6457,0.3905,0.8676,0.1719,0.7801,1.1234,0.0148,33.6925,28.186,255.34,309.54,0,0.0
run_005_Town02_rt0_LHS_004,0.8692,0.6753,0.1671,0.5523,0.912,1.1319,0.0152,33.7914,27.8711,185.64,218.9,0,0.0
run_006_Town02_rt0_LHS_005,0.1482,0.2194,0.8937,0.3212,0.6854,1.5288,0.0384,26.0288,21.4528,237.9,211.84,0,0.0
run_007_Town02_rt0_LHS_006,0.2977,0.3374,0.8261,0.7944,0.072,1.5754,0.0281,28.4339,32.9987,209.44,312.8,2,0.11
run_008_Town02_rt0_LHS_007,0.0297,0.9898,0.2435,0.6665,0.2518,1.663,0.0296,26.0603,23.0977,234.46,160.48,0,0.0
run_009_Town02_rt0_LHS_008,0.0569,0.5259,0.603,0.8731,0.6509,1.9152,0.0,28.2112,19.3084,303.38,142.54,3,0.28
run_010_Town02_rt0_LHS_009,0.2398,0.1767,0.274,0.3502,0.5076,1.2857,0.0179,25.9518,21.0705,262.98,303.62,0,0.0
run_011_Town02_rt0_LHS_010,0.6251,0.899,0.038,0.4777,0.9868,1.101,0.016,27.3459,18.6994,222.9,135.62,0,0.0
run_012_Town02_rt0_LHS_011,0.4328,0.3612,0.3329,0.0204,0.8758,1.2138,0.0132,24.4795,20.0295,203.8,201.76,0,0.0
run_013_Town02_rt0_LHS_012,0.8881,0.3549,0.4727,0.3959,0.8957,1.023,0.0211,28.9335,29.0499,257.52,219.8,0,0.0
run_014_Town02_rt0_LHS_013,0.2672,0.3152,0.3985,0.3291,0.0416,1.0733,0.021,26.4934,21.6964,179.98,258.56,0,0.0
